,license_family,algorithm,metric,count,mean,median,std,min,max
0,duolingo,Algorytm genetyczny,time_s,72,0.5591670030000588,0.42722889600190683,0.3868281773006363,0.09993353000027128,1.4960677830022178
1,duolingo,Algorytm genetyczny,total_cost,72,67.65277777777776,44.99999999999998,54.11988770956937,8.000000000000002,189.9999999999998
2,duolingo,Algorytm genetyczny,cost_per_node,72,0.7379166666666664,0.7600000000000002,0.18221398579614626,0.40000000000000013,0.9999999999999989
3,duolingo,Algorytm losowy,time_s,72,0.0007491165968329167,0.0005800419967272319,0.0007340675258594009,0.0002447789956931956,0.006304555005044676
4,duolingo,Algorytm losowy,total_cost,72,104.56944444444441,78.49999999999991,79.30682552173484,15.000000000000004,299.99999999999966
5,duolingo,Algorytm losowy,cost_per_node,72,1.1718749999999996,1.2174999999999996,0.30269614464990324,0.6300000000000001,1.819999999999998
6,duolingo,Algorytm mrówkowy,time_s,72,2.591929110874945,1.38336474800235,3.0778676899039943,0.10328436499548845,13.390821086999496
7,duolingo,Algorytm mrówkowy,total_cost,72,67.58333333333331,44.999999999999986,54.189222461536694,8.000000000000002,187.9999999999998
8,duolingo,Algorytm mrówkowy,cost_per_node,72,0.7380555555555554,0.7975000000000003,0.1879907765859193,0.3850000000000001,0.9999999999999989
9,duolingo,Algorytm zachłanny,time_s,72,0.0006288195558631236,0.0004896924983768258,0.00032223328686535314,0.0002480270050000399,0.0016795670017017983
10,duolingo,Algorytm zachłanny,total_cost,72,70.73611111111109,47.49999999999998,55.39893553041403,8.000000000000002,190.9999999999998
11,duolingo,Algorytm zachłanny,cost_per_node,72,0.7756249999999998,0.8425000000000002,0.1759700228552064,0.40000000000000013,0.9999999999999989
12,duolingo,Przeszukiwanie tabu,time_s,72,1.2574807293055226,0.8843238454974198,1.1577552724677904,0.0009789679970708676,5.080628087998775
13,duolingo,Przeszukiwanie tabu,total_cost,72,68.16666666666664,45.49999999999998,55.81357298702047,8.000000000000002,190.9999999999998
14,duolingo,Przeszukiwanie tabu,cost_per_node,72,0.7305555555555553,0.7825000000000002,0.19728358718230432,0.36000000000000004,0.9999999999999989
15,duolingo,Solver ILP,time_s,50,1.4452777618590336,0.3184243305004202,4.151052436460215,0.011970988001849037,26.58864093099692
16,duolingo,Solver ILP,total_cost,50,45.41999999999999,34.000000000000014,42.1460483053287,8.000000000000002,175.9999999999998
17,duolingo,Solver ILP,cost_per_node,50,0.6906999999999996,0.7300000000000002,0.19964000764641612,0.3400000000000001,0.9999999999999989
18,duolingo,Wyżarzanie symulowane,time_s,72,0.36350312480559904,0.23873630199886975,0.27589813692491577,0.0755592310015345,1.0945751760009443
19,duolingo,Wyżarzanie symulowane,total_cost,72,70.16666666666664,46.99999999999998,55.824927543269276,8.000000000000002,190.9999999999998
20,duolingo,Wyżarzanie symulowane,cost_per_node,72,0.7604861111111109,0.8300000000000003,0.18391700463283467,0.36000000000000004,0.9999999999999989
21,duolingo,Zbiór dominujący,time_s,72,0.0028989219997836496,0.0017123705001722556,0.0029405063418656003,0.0003247619970352389,0.011923310994461644
22,duolingo,Zbiór dominujący,total_cost,72,68.45833333333331,46.99999999999995,54.027623998558134,8.000000000000002,189.9999999999998
23,duolingo,Zbiór dominujący,cost_per_node,72,0.7551388888888888,0.8000000000000003,0.18034976234032782,0.3900000000000001,0.9999999999999989
24,netflix,Algorytm genetyczny,time_s,24,0.35180950937562255,0.23661303050175775,0.2830649957670421,0.08845648600254208,0.9137989560040296
25,netflix,Algorytm genetyczny,total_cost,24,61.25834813150601,49.094543459942955,46.90497281601016,11.038034938980463,156.74009613352257
26,netflix,Algorytm genetyczny,cost_per_node,24,0.6684875587672098,0.6497613402886411,0.08350212338060625,0.5519017469490232,0.7837004806676129
27,netflix,Algorytm losowy,time_s,24,0.0005504716661259105,0.0004979910008842126,0.00029955702098048644,0.0002315530000487342,0.0014420570005313491
28,netflix,Algorytm losowy,total_cost,24,105.23613086786933,86.70623564754356,78.23386283703636,17.364311680127475,257.63103041160673
29,netflix,Algorytm losowy,cost_per_node,24,1.1622062310005623,1.1453196850118237,0.13573966269097348,0.8682155840063738,1.4118799914486952
30,netflix,Algorytm mrówkowy,time_s,24,2.5482804179585705,1.2889830455023912,2.9203140525138287,0.13417525900149485,8.899317556002643
31,netflix,Algorytm mrówkowy,total_cost,24,61.88987749368647,49.95122676863995,47.18850012910955,11.038034938980463,157.3331845780051
32,netflix,Algorytm mrówkowy,cost_per_node,24,0.6757364175331074,0.6560217183137345,0.08981099862034853,0.5519017469490232,0.8079182588173163
33,netflix,Algorytm zachłanny,time_s,24,0.0004684771247411845,0.0003768914975808002,0.00021305888073847203,0.0002356309996685013,0.0008665869972901419
34,netflix,Algorytm zachłanny,total_cost,24,62.80696795876596,50.692587324243114,47.3303534048745,12.125363753865106,157.3331845780051
35,netflix,Algorytm zachłanny,cost_per_node,24,0.6894309944629993,0.6818869643647781,0.08136384307897522,0.5739778168269841,0.8178030662253586
36,netflix,Przeszukiwanie tabu,time_s,24,1.3828343900004256,0.9994178595006815,1.1171716272379335,0.30657336299918825,3.749341652001021
37,netflix,Przeszukiwanie tabu,total_cost,24,59.641083808356875,46.886936472146864,47.87232362257375,11.038034938980463,157.3331845780051
38,netflix,Przeszukiwanie tabu,cost_per_node,24,0.6290718892276416,0.6039617326313789,0.07566182637050817,0.5519017469490232,0.7866659228900256
39,netflix,Solver ILP,time_s,12,0.24644583191729907,0.09985264600254595,0.32954184396447656,0.02838473800511565,1.107185508000839
40,netflix,Solver ILP,total_cost,12,40.96703514666381,21.894848408813488,40.719573643759944,11.038034938980463,121.4183843287851
41,netflix,Solver ILP,cost_per_node,12,0.6054993693392964,0.5941592986184037,0.05479312316773556,0.5519017469490232,0.7331232160964636
42,netflix,Wyżarzanie symulowane,time_s,24,0.26572973529224936,0.1861757700025919,0.2037092539140276,0.0615514989985968,0.6631140780009446
43,netflix,Wyżarzanie symulowane,total_cost,24,60.65839523743455,48.02368932407172,47.97975274069234,11.038034938980463,157.3331845780051
44,netflix,Wyżarzanie symulowane,cost_per_node,24,0.6488758262916705,0.6197774244842463,0.07492669608364023,0.5519017469490232,0.7866659228900256
45,netflix,Zbiór dominujący,time_s,24,0.0019442345007216015,0.0010531775005802047,0.0019607136909262812,0.0003011070002685301,0.006333566001558211
46,netflix,Zbiór dominujący,total_cost,24,63.100766401171654,50.742011361283325,47.43197227762403,12.125363753865106,157.3331845780051
47,netflix,Zbiór dominujący,cost_per_node,24,0.6937830555023735,0.6640943110303023,0.07478745311549527,0.6021495179399043,0.8171440790648224
48,roman,Algorytm genetyczny,time_s,72,0.3690260822916874,0.3228026559954742,0.21306945804132255,0.11448061400005828,0.8245978270060732
49,roman,Algorytm genetyczny,total_cost,72,53.70833333333331,42.999999999999986,40.11021347926375,6.999999999999997,160.99999999999997
50,roman,Algorytm genetyczny,cost_per_node,72,0.6200694444444441,0.6199999999999994,0.15379356260350607,0.2799999999999999,0.9999999999999998
51,roman,Algorytm losowy,time_s,72,0.0004928187777800809,0.0004464405028556939,0.0002244967275057615,0.00024982399918371806,0.001210394999361597
52,roman,Algorytm losowy,total_cost,72,103.45833333333329,82.99999999999999,75.89984829913023,14.999999999999993,299.99999999999994
53,roman,Algorytm losowy,cost_per_node,72,1.173333333333333,1.1799999999999988,0.2510106332970159,0.5449999999999998,1.6599999999999995
54,roman,Algorytm mrówkowy,time_s,72,1.1925300618479215,0.7462117200011562,1.2996580187317848,0.07041404899791814,4.8338317689995165
55,roman,Algorytm mrówkowy,total_cost,72,54.138888888888864,42.499999999999986,40.77706672357673,6.999999999999997,160.99999999999997
56,roman,Algorytm mrówkowy,cost_per_node,72,0.6244444444444441,0.6199999999999999,0.15653725551148287,0.2599999999999999,0.9999999999999998
57,roman,Algorytm zachłanny,time_s,72,0.0004473954445024396,0.00041311550376121886,0.0001904618169903892,0.0002099029952660203,0.0010514229943510145
58,roman,Algorytm zachłanny,total_cost,72,56.5833333333333,44.999999999999986,42.45984018068147,6.999999999999997,171.99999999999997
59,roman,Algorytm zachłanny,cost_per_node,72,0.6527777777777773,0.6549999999999997,0.16048318083276958,0.2799999999999999,0.9999999999999998
60,roman,Przeszukiwanie tabu,time_s,72,0.6029142839725965,0.5146331104988349,0.5076748663564666,0.005975057996693067,1.8860897539998405
61,roman,Przeszukiwanie tabu,total_cost,72,55.47222222222219,44.99999999999998,42.98148052628725,6.999999999999997,171.99999999999997
62,roman,Przeszukiwanie tabu,cost_per_node,72,0.6290277777777775,0.6199999999999997,0.16393411354481577,0.2799999999999999,0.9999999999999998
63,roman,Solver ILP,time_s,60,1.5762040790332927,0.35970526799792424,2.7338253421283527,0.010704858003009576,12.313944416004231
64,roman,Solver ILP,total_cost,60,44.83333333333331,32.99999999999997,35.585736366813606,6.999999999999997,142.99999999999997
65,roman,Solver ILP,cost_per_node,60,0.5930833333333331,0.5724999999999993,0.1493377802127447,0.3499999999999998,0.9999999999999998
66,roman,Wyżarzanie symulowane,time_s,72,0.2931240505974226,0.22344267250082336,0.23136203083512336,0.05513776300358586,0.9670925109967357
67,roman,Wyżarzanie symulowane,total_cost,72,56.194444444444414,44.999999999999986,42.704895945490584,6.999999999999997,171.99999999999997
68,roman,Wyżarzanie symulowane,cost_per_node,72,0.6418055555555553,0.6249999999999998,0.1597363707416541,0.2799999999999999,0.9999999999999998
69,roman,Zbiór dominujący,time_s,72,0.001983332848188487,0.0010883820032177027,0.001993293079525227,0.0002905330038629472,0.007008273001702037
70,roman,Zbiór dominujący,total_cost,72,52.29166666666664,41.999999999999986,38.23000720251337,6.999999999999997,147.99999999999997
71,roman,Zbiór dominujący,cost_per_node,72,0.6127083333333331,0.6099999999999999,0.15111076410424573,0.2749999999999999,0.9999999999999998
72,spotify,Algorytm genetyczny,time_s,24,0.3241927075832791,0.22877987950050738,0.24264504923510802,0.07771967900043819,0.8419973909985856
73,spotify,Algorytm genetyczny,total_cost,24,39.92438254411973,28.43521157383865,33.301190530051905,6.3580204990570115,122.15241618573232
74,spotify,Algorytm genetyczny,cost_per_node,24,0.43247584242259224,0.39966360713632965,0.10376953200362908,0.31790102495285055,0.6107620809286616
75,spotify,Algorytm losowy,time_s,24,0.0004988911675051592,0.0003589209991332609,0.0004942860991712921,0.0002201020033680834,0.0026746970033855177
76,spotify,Algorytm losowy,total_cost,24,67.21540116408185,53.36048529973968,49.06469053010104,14.775730861771011,164.33044345334534
77,spotify,Algorytm losowy,cost_per_node,24,0.7590461726270069,0.7817698494425508,0.09210542511758449,0.6243698062310377,0.9031757596342574
78,spotify,Algorytm mrówkowy,time_s,24,1.920557923666517,1.0404219034971902,2.1923597687941996,0.09973716500098816,7.180527664000692
79,spotify,Algorytm mrówkowy,total_cost,24,39.79683981663479,32.7975785636028,31.5909735273702,6.665044115871298,116.54265610136841
80,spotify,Algorytm mrówkowy,cost_per_node,24,0.44288257239145007,0.3906765872670086,0.11064539691763448,0.32711173345727923,0.6120735103776255
81,spotify,Algorytm zachłanny,time_s,24,0.00039371404151703854,0.00035100350214634085,0.00016340788766315976,0.0002071659982902929,0.0007267740002134815
82,spotify,Algorytm zachłanny,total_cost,24,43.037309615172006,35.58162486035806,33.41276114272053,6.665044115871298,122.4594398025466
83,spotify,Algorytm zachłanny,cost_per_node,24,0.48218278323267255,0.44592548711273955,0.10840282120331189,0.33325220579356496,0.6541620621911954
84,spotify,Przeszukiwanie tabu,time_s,24,1.2840275662920249,0.9578727775005972,0.9782727585166101,0.11232609800208591,3.4082010480051395
85,spotify,Przeszukiwanie tabu,total_cost,24,35.18035595831096,25.804677085490525,29.645886131946092,6.3580204990570115,111.06096872573275
86,spotify,Przeszukiwanie tabu,cost_per_node,24,0.3779574943079416,0.33456363524252875,0.0884077202200017,0.2937865128779227,0.5963056546283774
87,spotify,Solver ILP,time_s,14,0.6139170744286925,0.29817055350213195,0.6392242583180856,0.02270947099896148,2.0181871989989304
88,spotify,Solver ILP,total_cost,14,23.07363935604646,16.72818176212644,21.143986616321854,6.3580204990570115,69.50005892791646
89,spotify,Solver ILP,cost_per_node,14,0.36912149298551367,0.33894530085963553,0.08715261549608624,0.31790102495285055,0.5963056546283774
90,spotify,Wyżarzanie symulowane,time_s,24,0.25943595033277234,0.19106244249996962,0.19558098277279296,0.06636912199610379,0.6467827999949805
91,spotify,Wyżarzanie symulowane,total_cost,24,40.9384742403712,30.32055588366181,33.94177105898489,6.3580204990570115,122.4594398025466
92,spotify,Wyżarzanie symulowane,cost_per_node,24,0.44046192875066814,0.3982480089602323,0.09809656064752979,0.31790102495285055,0.6182139827139113
93,spotify,Zbiór dominujący,time_s,24,0.0017681915833236417,0.0010697030011215247,0.001839567311550368,0.0002693930000532418,0.006037490995367989
94,spotify,Zbiór dominujący,total_cost,24,43.21242272804787,34.81406581832235,33.47975288948202,7.41023429439626,125.17791462685368
95,spotify,Zbiór dominujący,cost_per_node,24,0.4852038590716945,0.44504608375315,0.10785081865212541,0.35626362587379573,0.6304949273864827
